"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-01","16","4","9","7.4","0.66","3.23","16.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-02","14","3","9","11.1","1.13","3.24","17.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-03","0","0","0","0.1","2.07","4.01","0.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-04","2","1","2","3.0","1.01","3.86","3.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-05","0","0","0","0.0","0.66","2.87","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-06","0","0","0","0.0","0.89","2.30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-07","0","0","0","0.0","0.76","1.54","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-08","0","0","0","0.0","1.29","3.41","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-09","0","0","0","0.0","1.93","7.04","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-10","0","0","0","0.0","2.64","3.13","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-11","2","2","2","1.0","0.35","1.73","2.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1974-12","5","1","3","3.3","1.63","3.92","3.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-01","6","0","1","0.8","1.46","5.70","2.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-02","14","4","8","7.6","1.34","3.37","17.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-03","2","1","1","1.0","0.74","2.75","1.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-04","1","0","1","0.4","1.40","2.40","1.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-05","0","0","0","0.0","0.91","1.78","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-06","0","0","0","0.0","1.06","2.10","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-07","0","0","0","0.0","1.00","2.35","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-08","0","0","0","0.0","2.26","5.52","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-09","0","0","0","0.0","1.67","5.49","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-10","0","0","0","0.0","1.97","4.41","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-11","0","0","0","0.1","1.59","5.13","0.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-12","11","3","14","10.1","1.48","4.81","19.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-01","11","3","10","6.7","1.01","5.30","15.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-02","3","0","1","0.9","0.75","2.45","1.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-03","8","6","5","3.5","0.62","2.41","10.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-04","0","0","0","0.0","0.69","2.00","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-05","0","0","0","0.0","0.51","1.99","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-06","0","0","0","0.0","0.26","0.58","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-07","0","0","0","0.0","2.10","4.31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-08","0","0","0","0.0","2.25","8.00","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-09","0","0","0","0.0","0.57","1.57","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-10","0","0","0","0.0","1.85","4.16","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-11","1","1","1","1.0","0.32","0.64","1.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-12","10","3","12","11.3","1.14","3.36","17.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-01","31","4","18","13.8","1.71","4.42","23.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-02","25","2","7","3.7","0.70","2.41","6.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-03","3","2","9","9.4","1.23","4.76","10.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-04","0","0","0","0.0","1.29","4.07","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-05","0","0","0","0.5","2.29","3.52","0.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-06","0","0","0","0.0","0.66","2.50","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-07","0","0","0","0.0","1.19","2.21","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-08","0","0","0","0.0","0.69","2.91","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-09","0","0","0","0.0","1.54","4.03","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-10","0","0","0","0.0","0.87","4.63","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-11","0","0","0","0.7","1.08","2.54","0.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-12","4","3","2","1.5","1.35","6.20","5.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-01","24","5","26","21.0","2.05","8.13","35.9"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-02","28","2","29","19.0","1.93","2.87","27.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-03","19","5","20","8.2","0.79","2.46","16.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-04","0","0","0","0.0","0.75","1.80","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-05","0","0","0","0.0","1.73","4.50","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-06","0","0","0","0.0","0.37","1.53","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-07","0","0","0","0.0","0.81","1.48","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-08","0","0","0","0.0","1.47","4.62","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-09","0","0","0","0.0","0.71","1.30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-10","0","0","0","0.0","0.85","3.13","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-11","3","2","1","2.1","0.61","2.21","4.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-12","4","2","5","4.6","1.18","3.63","5.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-01","6","4","5","4.2","2.52","10.55","10.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-02","10","2","3","3.1","1.75","3.47","6.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-03","2","0","2","0.0","1.11","3.04","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-04","0","0","0","0.3","1.19","3.20","0.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-05","0","0","0","0.0","0.80","4.25","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-06","0","0","0","0.0","0.31","0.86","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-07","0","0","0","0.0","0.94","2.36","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-08","0","0","0","0.0","1.78","5.02","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-09","0","0","0","0.0","1.08","3.61","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-10","0","0","0","0.2","1.18","3.15","0.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-11","0","0","0","0.0","1.39","3.29","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-12","2","1","2","1.5","0.49","1.42","2.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-01","0","0","0","0.4","0.32","0.74","0.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-02","4","1","5","5.3","0.56","0.88","6.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-03","1","1","2","3.0","1.46","5.37","3.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-04","0","0","0","0.0","1.70","4.36","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-05","0","0","0","0.0","0.68","2.30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-06","0","0","0","0.0","1.49","3.06","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-07","0","0","0","0.0","1.35","2.21","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-08","0","0","0","0.0","0.37","1.55","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-09","0","0","0","0.0","0.32","0.82","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-10","0","0","0","0.0","1.84","4.14","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-11","2","1","2","2.2","1.22","3.01","2.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-12","15","2","2","3.2","0.45","0.98","5.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-01","28","5","5","3.0","0.22","0.95","11.9"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-02","2","1","1","1.9","2.15","6.65","1.9"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-03","0","0","0","0.4","0.24","0.62","0.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-04","0","0","0","0.0","0.72","3.14","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-05","0","0","0","0.0","0.68","1.18","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-06","0","0","0","0.0","0.41","1.65","0.0"
