"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-05",,"1.78"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-06",,"2.10"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-07",,"2.35"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-08",,"5.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-09",,"5.49"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-10",,"4.41"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-11",,"5.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1975-12",,"4.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-01",,"5.30"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-02",,"2.45"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-03",,"2.41"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-04",,"2.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-05",,"1.99"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-06",,"0.58"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-07",,"4.31"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-08",,"8.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-09",,"1.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-10",,"4.16"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-11",,"0.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1976-12",,"3.36"
